"Designator","Description","LibReference","Footprint","FootprintDescription","Sheet","SourceUniqueId","ItemGUID","ItemRevisionGUID","Layer"
"C1","CAP, CERM, 330 pF, 50 V, +/- 5%, C0G/NP0, 0603","CMP-0006920-4","0603","","3.ADC","AWJHYAJL","","","TOP"
"C2","CAP, CERM, 330 pF, 50 V, +/- 5%, C0G/NP0, 0603","CMP-0006920-4","0603","","3.ADC","TXDIJIYE","","","BOTTOM"
"C3","CAP, CERM, 330 pF, 50 V, +/- 5%, C0G/NP0, 0603","CMP-0006920-4","0603","","3.ADC","HKWMRIXQ","","","BOTTOM"
"C4","CAP, CERM, 330 pF, 50 V, +/- 5%, C0G/NP0, 0603","CMP-0006920-4","0603","","3.ADC","JFPNSAJD","","","TOP"
"C5","CAP, CERM, 330 pF, 50 V, +/- 5%, C0G/NP0, 0603","CMP-0006920-4","0603","","3.ADC","ECPFRCZO","","","TOP"
"C6","CAP, CERM, 330 pF, 50 V, +/- 5%, C0G/NP0, 0603","CMP-0006920-4","0603","","3.ADC","MWYCYZMQ","","","BOTTOM"
"C7","CAP, CERM, 330 pF, 50 V, +/- 5%, C0G/NP0, 0603","CMP-0006920-4","0603","","3.ADC","VCIQUTHN","","","TOP"
"C8","CAP, CERM, 330 pF, 50 V, +/- 5%, C0G/NP0, 0603","CMP-0006920-4","0603","","3.ADC","HRLLQPZT","","","TOP"
"C9","CAP, CERM, 330 pF, 50 V, +/- 5%, C0G/NP0, 0603","CMP-0006920-4","0603","","3.ADC","OQKWZEXJ","","","BOTTOM"
"C10","CAP, CERM, 330 pF, 50 V, +/- 5%, C0G/NP0, 0603","CMP-0006920-4","0603","","3.ADC","JMFPIJWR","","","BOTTOM"
"C11","CAP, CERM, 330 pF, 50 V, +/- 5%, C0G/NP0, 0603","CMP-0006920-4","0603","","3.ADC","GDXYJXQL","","","BOTTOM"
"C12","CAP, CERM, 330 pF, 50 V, +/- 5%, C0G/NP0, 0603","CMP-0006920-4","0603","","3.ADC","MTYDOYQI","","","TOP"
"C13","CAP, CERM, 330 pF, 50 V, +/- 5%, C0G/NP0, 0603","CMP-0006920-4","0603","","3.ADC","OAVBKMGT","","","TOP"
