"Qty","Designators","LibReference","Description","Footprint","FootprintDescription","Sheets","ItemGUID","ItemRevisionGUID"
"1","S3","CMP-0002193-2","Switch, SPST-NO, Off-Mom, 12 V, SMD","SW_B3U-1100P","","2.Support","",""
"1","S4","CMP-0002230-1","Switch, SPST, 2 Pos, 25mA, 24VDC, SMD","SW_218-2LP","","2.Support","",""
"2","S1, S2","CMP-0002233-1","Switch, Dual SPDT,  2 Pos, 0.1A, 6VDC, SMD","SW_CAS-D20TA","","3.ADC","",""
"2","D3, D4","CMP-0002951-3","LED, Red, SMD","WL-SMCW_RED_0805","","2.Support","",""
"1","C36","CMP-0006213-2","CAP, CERM, 33 pF, 25 V, +/- 5%, C0G/NP0, 0402","0402","","4.Power","",""
"2","C74, C76","CMP-0006236-2","CAP, CERM, 0.01 uF, 50 V, +/- 5%, X7R, 0402","0402","","2.Support","",""
"4","C73, C75, C77, C78","CMP-0006343-2","CAP, CERM, 0.1 uF, 10 V, +/- 10%, X7R, 0402","0402","","2.Support","",""
"2","C25, C30","CMP-0006862-5","CAP, CERM, 0.1 uF, 10 V, +/- 10%, X7R, 0603","0603","","3.ADC","",""
"3","C32, C33, C34","CMP-0006871-4","CAP, CERM, 1 uF, 6.3 V, +80/-20%, Y5V, 0603","0603","","3.ADC","",""
"4","C42, C43, C53, C54","CMP-0006906-5","CAP, CERM, 2.2 uF, 10 V, +/- 10%, X5R, 0603","0603","","4.Power","",""
"1","C31","CMP-0006907-5","CAP, CERM, 2.2 uF, 6.3 V, +/- 10%, X5R, 0603","0603","","3.ADC","",""
"24","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24","CMP-0006920-4","CAP, CERM, 330 pF, 50 V, +/- 5%, C0G/NP0, 0603","0603","","3.ADC","",""
"6","C26, C27, C28, C29, C35, C37","CMP-0007324-5","CAP, CERM, 22 uF, 10 V, +/- 20%, X5R, 0603","0603","","3.ADC, 4.Power","",""
"28","C38, C40, C41, C44, C45, C46, C47, C48, C49, C50, C51, C52, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70","CMP-001-00001-6","Chip Capacitor, 0.1 uF, +/- 5%, 16 V, 0402 (1005 Metric)","CAPC1005X56X25LL10T15","Chip Capacitor, 2-Leads, Body 1.10x0.60mm, IPC High Density","4.Power","A0172775-ABE7-4C5C-9042-8FF38A8061E5","1F7CB819-4B2F-4DD9-A856-12543AC7F829"
"3","C163, C164, C165","CMP-001-00007-7","Chip Capacitor, 1 uF, +/- 10%, 50 V, 0805 (2012 Metric)","CAPC2013X135X45NL10T25","Chip Capacitor, 2-Leads, Body 2.10x1.35mm, IPC Medium Density","1.GPIO, 8.Emulator_Interface","304EA0B8-F839-41C9-9F75-833C2EECB6CE","837A2A14-CA9E-45BA-81C8-8414F7DB19E8"
"20","C166, C167, C168, C169, C170, C171, C172, C173, C174, C175, C176, C177, C178, C179, C180, C181, C182, C183, C184, C185","CMP-001-00017-6","Chip Capacitor, 100 nF, +/- 10%, 50 V, 0603 (1608 Metric)","CAPC1608X90X40NL10T20","Chip Capacitor, 2-Leads, Body 1.70x0.90mm, IPC Medium Density","9.Pwm_Buffer","85718E7E-A7BA-41FF-9B71-CC81DC10C908","EAD50EBC-46BB-4EC3-BEC1-8528D867B411"
"2","C71, C72","CMP-001-00075-4","Chip Capacitor, 10??F +/-20%, 10V, 0603, Thickness 1 mm","CAPC0603(1608)100_L","Chip Capacitor, Body 1.6x0.8mm, Height 1.0mm, IPC High Density","4.Power","2591F4BA-9F55-4446-B3EC-36DB1479698A","4D6BBE15-C8E2-492D-81F4-C782B7C248A3"
"1","C39","CMP-001-00081-4","Chip Capacitor, 22??F +/-40%, 16V, 0805, Thickness 1.45 mm","CAPC0805(2012)145_L","Chip Capacitor, Body 2.0x1.2mm, Height 1.45mm, IPC High Density","4.Power","9C1E7CA9-BBF6-4874-89A4-825447AD49CC","1B732AC5-BE16-4EF9-ACAE-BD6F38A05304"
"2","J9, J10","CMP-002-00158-1","10 Positions Header Connector 0.100"" (2.54mm) Through Hole Gold","SHDR10W66P254_2X5_2030X905X905P","","1.GPIO","C4D4DE5E-AA00-4955-8926-9CCD20DD1C39","DCE47D8A-4B46-411E-891A-6310FDA8F777"
