Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Manufacturer 1,Manufacturer Part Number 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1,Footprint,LibRef,Quantity

"","C0603C331J5GACTU","CAP, CERM, 330 pF, 50 V, +/- 5%, C0G/NP0, 0603","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24","","Not managed","","Yageo Group","C0603C331J5GACTU","Mouser","80-C0603C331J5G","0.034","0.816","0603","CMP-0006920-4","24"
"","C0603C104K8RACTU","CAP, CERM, 0.1 uF, 10 V, +/- 10%, X7R, 0603","C25, C30","","Not managed","","Yageo Group","C0603C104K8RACTU","Digi-Key","399-1095-1-ND","","","0603","CMP-0006862-5","2"
"","GRM188R61A226ME15D","CAP, CERM, 22 uF, 10 V, +/- 20%, X5R, 0603","C26, C27, C28, C29, C35, C37","","Not managed","","Murata","GRM188R61A226ME15D","Mouser","81-GRM188R61A226ME5D","0.042","0.42","0603","CMP-0007324-5","6"
"","C0603C225K9PACTU","CAP, CERM, 2.2 uF, 6.3 V, +/- 10%, X5R, 0603","C31","","Not managed","","Yageo Group","C0603C225K9PACTU","Mouser","80-C0603C225K9P","0.15","0.15","0603","CMP-0006907-5","1"
"","C0603C105Z9VACTU","CAP, CERM, 1 uF, 6.3 V, +80/-20%, Y5V, 0603","C32, C33, C34","","Not managed","","Yageo Group","C0603C105Z9VACTU","Mouser","80-C0603C105Z9V","0.15","0.45","0603","CMP-0006871-4","3"
"","885012005043","CAP, CERM, 33 pF, 25 V, +/- 5%, C0G/NP0, 0402","C36","","Not managed","","Wurth Elektronik","885012005043","Mouser","710-885012005043","0.11","0.11","0402","CMP-0006213-2","1"
"","Capacitor 0.1 uF +/- 5% 16 V 0402","Chip Capacitor, 0.1 uF, +/- 5%, 16 V, 0402 (1005 Metric)","C38, C40, C41, C44, C45, C46, C47, C48, C49, C50, C51, C52, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70","CMP-001-00001-6","Draft","Up to date","Murata","GRM155R71C104JA88D","Mouser","81-GRM155R71C104JA8D","0.024","0.672","CAPC1005X56X25LL10T15","CMP-001-00001-6","28"
"","Capacitor 22レF +/-40% 16V 0805","Chip Capacitor, 22レF +/-40%, 16V, 0805, Thickness 1.45 mm","C39","CMP-001-00081-4","Draft","Up to date","Murata","GRM219R61C226ME15L","Arrow Electronics","GRM219R61C226ME15L","0.1426","0.1426","CAPC0805(2012)145_L","CMP-001-00081-4","1"
"","C0603C225K8PACTU","CAP, CERM, 2.2 uF, 10 V, +/- 10%, X5R, 0603","C42, C43, C53, C54","","Not managed","","Yageo Group","C0603C225K8PACTU","Mouser","80-C0603C225K8P","0.47","1.88","0603","CMP-0006906-5","4"
"","Capacitor 10レF +/-20% 10V 0603","Chip Capacitor, 10レF +/-20%, 10V, 0603, Thickness 1 mm","C71, C72","CMP-001-00075-4","Draft","Up to date","Yageo Group","CC0603KRX5R6BB106","Arrow Electronics","CC0603KRX5R6BB106","0.0205","0.041","CAPC0603(1608)100_L","CMP-001-00075-4","2"
"","CL05B104KP5NNNC","CAP, CERM, 0.1 uF, 10 V, +/- 10%, X7R, 0402","C73, C75, C77, C78","","Not managed","","","","","","","","0402","CMP-0006343-2","4"
"","C0402C103J5RACTU","CAP, CERM, 0.01 uF, 50 V, +/- 5%, X7R, 0402","C74, C76","","Not managed","","Yageo Group","C0402C103J5RACTU","Mouser","80-C0402C103J5R","0.43","0.86","0402","CMP-0006236-2","2"
"","C2012","Chip Capacitor, 1 uF, +/- 10%, 50 V, 0805 (2012 Metric)","C163, C164, C165","CMP-001-00007-7","Draft","Up to date","TDK","C2012X7R1H105K125AB","Arrow Electronics","C2012X7R1H105K125AB","0.2517","0.7551","CAPC2013X135X45NL10T25","CMP-001-00007-7","3"
"","Capacitor 100 nF +/-10% 50 V 0603","Chip Capacitor, 100 nF, +/- 10%, 50 V, 0603 (1608 Metric)","C166, C167, C168, C169, C170, C171, C172, C173, C174, C175, C176, C177, C178, C179, C180, C181, C182, C183, C184, C185","CMP-001-00017-6","Draft","Up to date","Yageo Group","CC0603KRX7R9BB104","Arrow Electronics","CC0603KRX7R9BB104","0.0022","0.044","CAPC1608X90X40NL10T20","CMP-001-00017-6","20"
"","CMP-0028747-2","Diode, Schottky, 10 V, 1 A, AEC-Q101, POWERMITE","D1","CMP-004-00076-1","Draft","Up to date","onsemi","MBRM110ET1G","Bison Technologies","MBRM110ET1G-159988","0.09","9","POWERMITE","CMP-004-00076-1","1"
"","CFSH05-20L_TR_PBFREE","SURFACE MOUNT SILICON LOW VF SCHOTTKY DIODE 0.5 AMP","D2","CMP-004-00069-1","Draft","Up to date","","","","","","","CFSH0520LTRPBFREE","CMP-004-00069-1","1"
"","150080SS75000","LED, Red, SMD","D3, D4","","Not managed","","","","","","","","WL-SMCW_RED_0805","CMP-0002951-3","2"
"","10144517-101802LF","Socket(male) 100 Positions, Dual Row, Vertical Receptacle. BergStak Lite 0.80mm, Board-to-Board Connector,","J1, J2, J12","CMP-002-00178-1","Draft","Up to date","","","","","","","AMPHENOL_10144517-101802LF","CMP-002-00178-1","3"
"","302-S101","10 Positions Header Connector 0.100"" (2.54mm) Through Hole Gold","J9, J10","CMP-002-00158-1","Draft","Up to date","","","","","","","SHDR10W66P254_2X5_2030X905X905P","CMP-002-00158-1","2"
"","SBH11-PBPC-D07-ST-BK","Connector Header Through Hole 14 position 0.100 (2.54mm)","J11","CMP-002-00182-1","Draft","Up to date","","","","","","","SULLINS_SBH11-PBPC-D07-ST-BK","CMP-002-00182-1","1"
"","LQM2HPN2R2MG0L","Chip Inductor, 2.2 uH, +/- 20%, -55 to 125 degC, 1008 (2520 Metric), RoHS, Tape and Reel","L1, L2","CMP-006-00009-6","Draft","Up to date","Murata","LQM2HPN2R2MG0L","Newark","LQM2HPN2R2MG0L","0.03","0.06","INDC2520X100X60NL20T20","CMP-006-00009-6","2"
"","BLM18AG121SN1D","Chip Ferrite Bead for General Use, 120 Ohm, 500 mA, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel","L3, L4, L5","CMP-006-00004-3","Draft","Up to date","","","","","","","MURA-BLM18-F-H1-CHIP-2_V","CMP-006-00004-3","3"
"","150080VS75000","WL-SMCW SMT Mono-Color Chip LED Waterclear 0805","LED1","CMP-007-00038-1","Draft","Up to date","","","","","","","LEDC2012X70N","CMP-007-00038-1","1"
"","CRCW040239R0JNED","RES, 39, 5%, 0.063 W, AEC-Q200 Grade 0, 0402","R3, R4, R5, R6, R7, R8, R59","","Not managed","","Vishay","CRCW040239R0JNED","Mouser","71-CRCW0402J-39-E3","0.018","0.18","0402","CMP-0026916-3","7"
"","CRCW06030000Z0EA","RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0603","R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R41, R42, R72, R73, R76, R85","","Not managed","","Vishay","CRCW06030000Z0EA","Mouser","71-CRCW0603-0-E3","0.012","0.408","0603","CMP-0025697-4","34"
"","ERJ2BWFR100X","RES, 0.1, 1%, 0.25 W, 0402","R37, R38, R39, R40","","Not managed","","Panasonic","ERJ-2BWFR100X","DigiKey","P17368CT-ND","0.3","1.2","0402","CMP-0078660-1","4"
"","RC0603FR-071KL","RES, 1.00 k, 1%, 0.1 W, 0603","R43","","Not managed","","Yageo Group","RC0603FR-071KL","DigiKey","311-1.00KHRCT-ND","0.1","0.1","0603","CMP-0022895-5","1"
"","Resistor 0R +/- 5% 0402 100 mW","Chip Resistor, 0 Ohm, 0.1 W, -55 to 155 degC, 0402 (1005 Metric)","R44","CMP-009-00005-5","Draft","Up to date","Panasonic","ERJ-2GE0R00X","Arrow Electronics","ERJ-2GE0R00X","0.0021","0.0021","RESC1005X40X25ML05T05","CMP-009-00005-5","1"
"","22KR2F","22K 0.063W 1% 0402 (1005 Metric)  SMD","R45","CMP-009-00081-2","Draft","Up to date","","","","","","","RESC0402(1005)_L","CMP-009-00081-2","1"
"","Resistor 0R +/- 5% 0603 100 mW","Chip Resistor, 0 Ohm, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)","R46, R163, R164, R165, R166, R167, R168, R169","CMP-009-00006-5","Draft","Up to date","Yageo Group","RC0603JR-130RL","Arrow Electronics","RC0603JR-130RL","0.0005","0.004","RESC1608X55X25ML10T15","CMP-009-00006-5","8"
"","CRCW0402680RJNED","RES, 680, 5%, 0.063 W, AEC-Q200 Grade 0, 0402","R47, R66, R67","","Not managed","","Vishay","CRCW0402680RJNED","Mouser","71-CRCW0402J-680-E3","0.017","0.17","0402","CMP-0026962-3","3"
"","CRCW0402340KFKED","RES, 340 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402","R48","","Not managed","","Vishay","CRCW0402340KFKED","DigiKey","541-340KLCT-ND","0.1","0.1","0402","CMP-0026300-2","1"
"","ERJ-2RKF2001X","RES, 2.00 k, 1%, 0.1 W, AEC-Q200 Grade 0, 0402","R49","","Not managed","","Panasonic","ERJ2RKF2001X","Mouser","667-ERJ-2RKF2001X","0.1","0.1","0402","CMP-0026676-1","1"
"","CRCW0402205KFKED","RES, 205 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402","R50","","Not managed","","Vishay","CRCW0402205KFKED","Mouser","71-CRCW0402-205K-E3","0.1","0.1","0402","CMP-0026160-2","1"
"","10KR2F","10K 0.063W 1% 0402 (1005 Metric)  SMD","R51","CMP-009-00066-2","Draft","Up to date","","","","","","","RESC0402(1005)_L","CMP-009-00066-2","1"
"","Resistor 100k +/-1% 0603 100 mW","Chip Resistor, 100 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)","R52","CMP-009-00023-5","Draft","Up to date","Yageo Group","RC0603FR-07100KL","Arrow Electronics","RC0603FR-07100KL","0.0007","0.0007","RESC1608X55X25ML10T15","CMP-009-00023-5","1"
"","Resistor 200K +/-1 % 0402 63 mW","Chip Resistor, 200 kOhms, +/-1 %, 63 mW, -55 to 155 degC, 0402","R53","CMP-009-00163-3","Draft","Up to date","Yageo Group","RC0402FR-07200KL","Arrow Electronics","RC0402FR-07200KL","0.0003","0.0003","RESC0402(1005)_L","CMP-009-00163-3","1"
"","RT0603DRE0775KL","RES, 75.0 k, 0.5%, 0.1 W, 0603","R54","","Not managed","","","","","","","","0603","CMP-0025557-3","1"
"","CRCW040256R0JNED","RES, 56, 5%, 0.063 W, AEC-Q200 Grade 0, 0402","R55","","Not managed","","Vishay","CRCW040256R0JNED","Mouser","71-CRCW0402J-56-E3","0.1","0.1","0402","CMP-0026950-3","1"
"","CRCW04022K20JNED","RES, 2.2 k, 5%, 0.063 W, AEC-Q200 Grade 0, 0402","R62, R63, R68, R71, R79, R80","","Not managed","","Vishay","CRCW04022K20JNED","Mouser","71-CRCW0402J-2.2K-E3","0.017","0.17","0402","CMP-0026890-5","6"
"","RC0402FR-0710KL","RES, 10.0 k, 1%, 0.063 W, 0402","R64","","Not managed","","Yageo Group","RC0402FR-0710KL","DigiKey","311-10.0KLRCT-ND","0.1","0.1","0402","CMP-0078669-1","1"
"","CRCW04021M50JNED","RES, 1.5 M, 5%, 0.063 W, AEC-Q200 Grade 0, 0402","R69, R70","","Not managed","","Vishay","CRCW04021M50JNED","Mouser","71-CRCW04021M50JNED","0.018","0.18","0402","CMP-0026863-2","2"
"","CRCW040256K0JNED","RES, 56 k, 5%, 0.063 W, AEC-Q200 Grade 0, 0402","R74, R75","","Not managed","","Vishay","CRCW040256K0JNED","Mouser","71-CRCW0402J-56K-E3","0.018","0.18","0402","CMP-0026949-3","2"
"","CPF0402B10RE1","RES, 10.0, 0.1%, 0.063 W, 0402","R77, R78, R81, R83","","Not managed","","TE Connectivity","1879208-1","Mouser","279-CPF0402B10RE1","0.21","0.84","CPF0402","CMP-0026765-1","4"
"","CRCW04020000Z0EDHP","RES, 0, 0%, 0.2 W, AEC-Q200 Grade 0, 0402","R82, R84, R86","","Not managed","","Vishay","CRCW04020000Z0EDHP","DigiKey","541-0.0YBTR-ND","0.01233","123.3","0402","CMP-0081856-1","3"
"","R2012","Chip Resistor, 4,7 Ohms, +/-5 %, 125 mW, -55 to 155 degC, 0805","R158, R159, R162, R170, R171, R172, R173, R174, R175","CMP-009-00174-4","Draft","Up to date","Yageo Group","RC0805JR-074R7L","Arrow Electronics","RC0805JR-074R7L","0.0014","0.0126","RESC0805(2012)_L","CMP-009-00174-4","9"
"","CRCW04024K70JNED","RES, 4.7 k, 5%, 0.063 W, AEC-Q200 Grade 0, 0402","R176, R177","","Not managed","","Vishay","CRCW04024K70JNED","Mouser","71-CRCW0402J-4.7K-E3","0.018","0.18","0402","CMP-0026938-5","2"
"","CAS-D20TA","Switch, Dual SPDT,  2 Pos, 0.1A, 6VDC, SMD","S1, S2","","Not managed","","","","Digi-Key","CASD20JCT-ND","","","SW_CAS-D20TA","CMP-0002233-1","2"
"","B3U-1100P","Switch, SPST-NO, Off-Mom, 12 V, SMD","S3","","Not managed","","Omron","B3U-1100P","Mouser","653-B3U-1100P","0.75","0.75","SW_B3U-1100P","CMP-0002193-2","1"
"","218-2LPST","Switch, SPST, 2 Pos, 25mA, 24VDC, SMD","S4","","Not managed","","CTS Components","218-2LPST","DigiKey","CT2182LPST-ND","1.11","1.11","SW_218-2LP","CMP-0002230-1","1"
"","TMS320F28388DZWTS","TMS320F28388DZWTS, ZWT0337A (NFBGA-337)","U1","","Not managed","","","","","","","","ZWT0337A-IPC_B","CMP-012-000147-1","1"
"","SN74LVC2G07DBVR","Dual Buffer/Driver with Open-Drain Output, DBV0006A, LARGE T&R","U2","","Not managed","","","","","","","","DBV0006A_N","CMP-0051789-2","1"
"","OPA4350EA/250","High-Speed, Single-Supply, Rail-to-Rail Operational Amplifier MicroAmplifier(TM) Series, 2.7 to 5.5 V, -55 to 150 degC, 16-pin SOP (DBQ16), Green (RoHS & no Sb/Br)","U3","","Not managed","","","","","","","","DBQ0016A_N","CMP-014-00004-2","1"
"","REF5030IDGKT","Low Noise, Very Low Drift, Precision Series Voltage Reference, DGK0008A (VSSOP-8)","U4","","Not managed","","","","","","","","DGK0008A_N","CMP-0032596-2","1"
"","CDCLVC1104PW","Low Jitter, 1:4 LVCMOS Fan-out Clock Buffer, PW0008A (TSSOP-8)","U5","CMP-052-000006-1","Draft","Up to date","Texas Instruments","CDCLVC1104PW","Arrow Electronics","CDCLVC1104PW","3.47","3.47","PW0008A_N","CMP-052-000006-1","1"
"","TPS3702CX33DDCT","High-Accuracy, Fixed-Threshold OV/UV Monitor, DDC0006A (SOT-23-T-6)","U6, U7","CMP-052-000005-1","Draft","Up to date","Texas Instruments","TPS3702CX33DDCT","Mouser","595-TPS3702CX33DDCT","2.66","5.32","DDC0006A_N","CMP-052-000005-1","2"
"","TPS62420DRCR","Dual, Adjustable, 600mA and 1000mA, 2.25MHz Step-Down Converter with 1-Wire Interface in QFN 10-VSON -40 to 85","U8","CMP-014-000012-1","Draft","Up to date","Texas Instruments","TPS62420DRCR","Arrow Electronics","TPS62420DRCR","2.03","2.03","DRC0010J","CMP-014-000012-1","1"
