Name,Description,Designator,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Footprint,LibRef,Quantity

"C0603C331J5GACTU","CAP, CERM, 330 pF, 50 V, +/- 5%, C0G/NP0, 0603","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24","Yageo Group","C0603C331J5GACTU","Volume Production","0603","CMP-0006920-4","24"
"C0603C104K8RACTU","CAP, CERM, 0.1 uF, 10 V, +/- 10%, X7R, 0603","C25, C30","Yageo Group","C0603C104K8RACTU","Volume Production","0603","CMP-0006862-5","2"
"GRM188R61A226ME15D","CAP, CERM, 22 uF, 10 V, +/- 20%, X5R, 0603","C26, C27, C28, C29, C35, C37","Murata","GRM188R61A226ME15D","Volume Production","0603","CMP-0007324-5","6"
"C0603C225K9PACTU","CAP, CERM, 2.2 uF, 6.3 V, +/- 10%, X5R, 0603","C31","Yageo Group","C0603C225K9PACTU","Volume Production","0603","CMP-0006907-5","1"
"C0603C105Z9VACTU","CAP, CERM, 1 uF, 6.3 V, +80/-20%, Y5V, 0603","C32, C33, C34","Yageo Group","C0603C105Z9VACTU","Volume Production","0603","CMP-0006871-4","3"
"885012005043","CAP, CERM, 33 pF, 25 V, +/- 5%, C0G/NP0, 0402","C36","Wurth Elektronik","885012005043","Volume Production","0402","CMP-0006213-2","1"
"Capacitor 0.1 uF +/- 5% 16 V 0402","Chip Capacitor, 0.1 uF, +/- 5%, 16 V, 0402 (1005 Metric)","C38, C40, C41, C44, C45, C46, C47, C48, C49, C50, C51, C52, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70","Murata","GRM155R71C104JA88D","Not Recommended for New Design","CAPC1005X56X25LL10T15","CMP-001-00001-6","28"
"Capacitor 22レF +/-40% 16V 0805","Chip Capacitor, 22レF +/-40%, 16V, 0805, Thickness 1.45 mm","C39","Murata","GRM219R61C226ME15L","Volume Production","CAPC0805(2012)145_L","CMP-001-00081-4","1"
"C0603C225K8PACTU","CAP, CERM, 2.2 uF, 10 V, +/- 10%, X5R, 0603","C42, C43, C53, C54","Yageo Group","C0603C225K8PACTU","Volume Production","0603","CMP-0006906-5","4"
"Capacitor 10レF +/-20% 10V 0603","Chip Capacitor, 10レF +/-20%, 10V, 0603, Thickness 1 mm","C71, C72","Yageo Group","CC0603KRX5R6BB106","Volume Production","CAPC0603(1608)100_L","CMP-001-00075-4","2"
"CL05B104KP5NNNC","CAP, CERM, 0.1 uF, 10 V, +/- 10%, X7R, 0402","C73, C75, C77, C78","","","","0402","CMP-0006343-2","4"
"C0402C103J5RACTU","CAP, CERM, 0.01 uF, 50 V, +/- 5%, X7R, 0402","C74, C76","Yageo Group","C0402C103J5RACTU","Volume Production","0402","CMP-0006236-2","2"
"C2012","Chip Capacitor, 1 uF, +/- 10%, 50 V, 0805 (2012 Metric)","C163, C164, C165","TDK","C2012X7R1H105K125AB","Volume Production","CAPC2013X135X45NL10T25","CMP-001-00007-7","3"
"Capacitor 100 nF +/-10% 50 V 0603","Chip Capacitor, 100 nF, +/- 10%, 50 V, 0603 (1608 Metric)","C166, C167, C168, C169, C170, C171, C172, C173, C174, C175, C176, C177, C178, C179, C180, C181, C182, C183, C184, C185","Yageo Group","CC0603KRX7R9BB104","Volume Production","CAPC1608X90X40NL10T20","CMP-001-00017-6","20"
"CMP-0028747-2","Diode, Schottky, 10 V, 1 A, AEC-Q101, POWERMITE","D1","onsemi","MBRM110ET1G","End of Life","POWERMITE","CMP-004-00076-1","1"
